"spende","datum"
50,2017-09-23
1000,2017-09-23
100,2017-09-23
50,2017-09-23
50,2017-09-23
50,2017-09-23
50,2017-09-23
11,2017-09-22
20,2017-09-22
50,2017-09-22
200,2017-09-22
200,2017-09-22
50,2017-09-22
50,2017-09-22
200,2017-09-22
100,2017-09-22
100,2017-09-22
50,2017-09-22
50,2017-09-22
100,2017-09-22
13,2017-09-22
50,2017-09-22
50,2017-09-22
50,2017-09-22
40,2017-09-22
10,2017-09-22
50,2017-09-22
10,2017-09-22
500,2017-09-22
10,2017-09-22
30,2017-09-22
10,2017-09-22
100,2017-09-22
15,2017-09-22
25,2017-09-22
30,2017-09-22
100,2017-09-22
20,2017-09-22
10,2017-09-22
20,2017-09-22
50,2017-09-22
200,2017-09-22
10,2017-09-22
100,2017-09-22
20,2017-09-22
50,2017-09-22
100,2017-09-22
30,2017-09-22
20,2017-09-22
20,2017-09-22
50,2017-09-22
50,2017-09-22
50,2017-09-22
259,2017-09-22
20,2017-09-22
50,2017-09-22
50,2017-09-22
100,2017-09-22
50,2017-09-22
56,2017-09-22
100,2017-09-22
50,2017-09-22
30,2017-09-22
10,2017-09-22
50,2017-09-22
50,2017-09-22
25,2017-09-22
20,2017-09-22
40,2017-09-22
40,2017-09-22
20,2017-09-22
500,2017-09-22
20,2017-09-22
20,2017-09-22
20,2017-09-22
30,2017-09-22
10,2017-09-22
50,2017-09-22
500,2017-09-22
10,2017-09-22
20,2017-09-22
100,2017-09-22
20,2017-09-22
50,2017-09-22
25,2017-09-22
100,2017-09-22
30,2017-09-22
10,2017-09-22
30,2017-09-22
10,2017-09-22
10,2017-09-22
10,2017-09-22
50,2017-09-22
20,2017-09-22
20,2017-09-22
50,2017-09-22
20,2017-09-22
10,2017-09-22
50,2017-09-22
50,2017-09-22
100,2017-09-22
10,2017-09-22
10,2017-09-22
100,2017-09-22
20,2017-09-22
20,2017-09-22
20,2017-09-22
70,2017-09-22
50,2017-09-22
20,2017-09-22
15,2017-09-22
30,2017-09-22
50,2017-09-22
10,2017-09-22
100,2017-09-22
20,2017-09-22
30,2017-09-22
20,2017-09-22
50,2017-09-22
2,2017-09-22
25,2017-09-22
50,2017-09-22
30,2017-09-22
100,2017-09-22
50,2017-09-22
20,2017-09-22
20,2017-09-22
50,2017-09-22
50,2017-09-22
10,2017-09-22
20,2017-09-22
10,2017-09-22
10,2017-09-22
200,2017-09-22
5,2017-09-22
25,2017-09-22
100,2017-09-22
20,2017-09-22
100,2017-09-22
10,2017-09-22
200,2017-09-22
50,2017-09-22
100,2017-09-22
